rand,r2,MAE,less20RE_per,total_valid
395,0.5237,1.4924,0.5822,292
396,0.5079,1.4531,0.6071,308
397,0.3563,1.6816,0.5466,322
398,0.3853,1.4398,0.6262,321
399,0.4479,1.4492,0.5899,278
400,0.3882,1.5992,0.5844,308
401,0.5533,1.5108,0.551,245
402,0.5423,1.5522,0.5661,295
403,0.4314,1.6013,0.5636,330
404,0.4893,1.5899,0.5212,307
405,0.4711,1.4856,0.5816,282
406,0.456,1.4439,0.5911,291
407,0.4958,1.4777,0.5752,266
408,0.3505,1.4698,0.6126,302
409,0.4093,1.4716,0.5908,303
410,0.4795,1.5252,0.549,286
411,0.4442,1.4191,0.589,292
412,0.4395,1.4534,0.5925,292
413,0.4281,1.5614,0.5552,317
414,0.3734,1.7316,0.5226,287
415,0.4676,1.5881,0.5463,324
416,0.4887,1.4897,0.5891,275
417,0.5104,1.5192,0.5331,317
418,0.5303,1.4726,0.5767,326
419,0.4592,1.5323,0.5497,302
420,0.499,1.4677,0.5451,277
421,0.4438,1.6013,0.5631,309
422,0.4318,1.6249,0.5527,275
423,0.4219,1.6549,0.5309,307
424,0.4492,1.4603,0.6312,320
425,0.5272,1.426,0.5589,263
426,0.4788,1.4959,0.6026,312
427,0.4865,1.5341,0.5615,301
428,0.4472,1.5025,0.5947,338
429,0.475,1.3108,0.6482,307
430,0.507,1.6712,0.5089,281
431,0.4391,1.6117,0.567,321
432,0.41,1.4455,0.5719,278
433,0.5376,1.48,0.6016,246
434,0.4475,1.441,0.5704,270
435,0.4464,1.5723,0.5478,272
436,0.485,1.4698,0.5847,301
437,0.5442,1.4812,0.6144,319
438,0.4473,1.5745,0.59,261
439,0.4589,1.4986,0.5833,300
440,0.4597,1.4357,0.6111,288
441,0.549,1.4481,0.6109,293
442,0.4453,1.5524,0.5578,303
443,0.4125,1.6398,0.5267,281
444,0.4536,1.4481,0.5864,295
445,0.4669,1.4765,0.5685,292
446,0.5138,1.5197,0.5655,313
447,0.4733,1.5938,0.5318,299
448,0.4304,1.5549,0.5909,330
449,0.537,1.5215,0.5451,266
450,0.4695,1.4468,0.5543,276
451,0.4427,1.2916,0.6312,301
452,0.4757,1.5648,0.5485,268
453,0.5067,1.5165,0.5448,279
454,0.4988,1.4802,0.5531,311
455,0.4882,1.5768,0.5426,282
456,0.4005,1.5876,0.5198,329
457,0.4558,1.5803,0.5088,283
458,0.3414,1.5477,0.5518,328
459,0.4602,1.5015,0.5632,277
460,0.5082,1.407,0.612,317
461,0.4915,1.488,0.5827,278
462,0.4884,1.6439,0.5224,312
463,0.3982,1.469,0.6404,317
464,0.4327,1.5155,0.5763,295
465,0.4701,1.6011,0.5294,306
466,0.454,1.5375,0.585,306
467,0.4983,1.4721,0.5465,269
468,0.4517,1.4117,0.6211,322
469,0.5014,1.4056,0.592,299
470,0.4771,1.5605,0.5818,275
471,0.4595,1.4789,0.6059,307
472,0.4634,1.5418,0.5741,324
473,0.4712,1.4986,0.5833,300
474,0.3738,1.4406,0.6598,338
475,0.4294,1.5477,0.5116,258
