rand,r2,MAE,less20RE_per,Average_RE,total_valid
246,0.3991,1.4108,0.6215,0.2136,967
247,0.492,1.3708,0.6523,0.2232,837
248,0.4263,1.4396,0.6367,0.216,1024
249,0.4414,1.3156,0.6599,0.2149,888
250,0.3499,1.4314,0.6248,0.2019,1066
251,0.5081,1.4671,0.6002,0.2336,958
252,0.4465,1.3905,0.6346,0.2168,1040
253,0.3997,1.4216,0.6328,0.2127,975
254,0.451,1.3633,0.6425,0.2202,912
255,0.4767,1.4091,0.6436,0.2156,1010
256,0.4405,1.3549,0.6755,0.2107,946
257,0.4753,1.4052,0.6494,0.2081,1001
258,0.4509,1.2719,0.6624,0.2025,865
259,0.4713,1.3633,0.642,0.2186,1056
260,0.4806,1.3967,0.635,0.2289,926
261,0.4511,1.4693,0.6014,0.2374,966
262,0.4621,1.465,0.6249,0.2305,1021
263,0.4259,1.4798,0.6327,0.2247,972
264,0.4845,1.3482,0.6298,0.2218,940
265,0.4321,1.4239,0.6344,0.2111,960
266,0.4566,1.454,0.6269,0.2133,1080
267,0.4762,1.4076,0.6435,0.2068,1038
268,0.4566,1.3,0.646,0.1992,952
269,0.476,1.4681,0.6159,0.2218,958
270,0.4939,1.4086,0.6349,0.2273,923
271,0.4178,1.286,0.6645,0.215,1073
272,0.4777,1.3657,0.6493,0.2092,998
273,0.5363,1.3579,0.6606,0.2158,1049
274,0.4917,1.4814,0.6106,0.2323,958
275,0.4008,1.4314,0.63,0.2167,1019
276,0.4764,1.4174,0.6428,0.213,991
277,0.4503,1.4134,0.6097,0.2261,989
278,0.2804,1.3701,0.6691,0.1798,1115
279,0.3698,1.4249,0.6337,0.214,1021
280,0.468,1.3905,0.6521,0.2105,1009
281,0.5314,1.4077,0.5949,0.2383,864
282,0.4043,1.376,0.632,0.2126,1000
283,0.4798,1.3531,0.6345,0.2139,1004
284,0.4509,1.3359,0.633,0.2189,910
285,0.4887,1.4434,0.6077,0.2343,905
286,0.4883,1.4164,0.6045,0.2278,986
287,0.42,1.4566,0.6095,0.2253,1055
288,0.4589,1.408,0.6642,0.2142,1084
289,0.4996,1.3561,0.6585,0.234,899
290,0.4904,1.432,0.5996,0.2235,934
291,0.4267,1.3997,0.6318,0.2081,1051
292,0.4771,1.4251,0.5982,0.227,871
293,0.3176,1.4922,0.6358,0.2033,1079
294,0.5066,1.3271,0.6518,0.2125,873
295,0.5153,1.3227,0.6373,0.2091,954
296,0.4099,1.3649,0.6622,0.1981,1051
297,0.4333,1.3813,0.6403,0.2127,959
298,0.4713,1.3783,0.6243,0.216,905
299,0.4854,1.3488,0.6516,0.1939,993
300,0.4535,1.3291,0.6505,0.2047,990
301,0.4364,1.3575,0.6709,0.2008,1112
302,0.5277,1.3433,0.6352,0.2252,899
303,0.4205,1.39,0.6513,0.2137,1021
304,0.5174,1.4293,0.5914,0.2467,886
305,0.3834,1.418,0.6078,0.2298,1002
306,0.4845,1.3752,0.6547,0.2093,1002
307,0.3989,1.3486,0.6611,0.1899,1024
308,0.5006,1.3971,0.6055,0.2471,867
309,0.4127,1.4153,0.6484,0.1945,1041
310,0.4174,1.4283,0.6297,0.2073,1045
311,0.5082,1.3814,0.6223,0.2192,932
312,0.4226,1.3701,0.6565,0.2073,952
